ID_Data;ID_Fornecedor;ID_Material;ID_Medico;Valor_Empenhado
94;2;20;1;380,00
95;7;27;5;560,00
96;1;5;4;670,00
97;6;14;8;6100,00
98;4;33;6;250,00
99;3;11;3;2200,00
100;2;23;9;200,00
101;8;41;1;1650,00
102;5;6;2;590,00
103;1;28;7;640,00
104;6;3;4;810,00
105;4;36;5;17500,00
106;7;9;8;3200,00
107;3;25;6;175,00
108;2;13;3;7200,00
109;1;4;1;720,00
110;5;19;9;360,00
111;6;38;2;39000,00
112;4;8;4;780,00
113;3;26;7;415,00
114;2;11;5;2300,00
115;1;6;8;530,00
116;7;30;3;880,00
117;5;15;6;5300,00
118;6;2;1;1200,00
119;4;44;9;3800,00
120;3;17;2;480,00
121;2;7;4;920,00
122;1;11;5;1950,00
122;8;35;3;260,00
123;5;4;7;700,00
124;6;27;8;600,00
125;4;13;1;6900,00
126;3;21;2;440,00
127;2;6;6;510,00
128;7;40;4;2400,00
128;9;18;9;330,00
129;1;8;3;840,00
130;5;29;5;750,00
131;6;11;7;2100,00
132;4;3;1;770,00
133;3;37;8;37000,00
134;2;22;2;300,00
135;1;14;6;6200,00
136;5;5;4;650,00
137;6;31;3;220,00
138;7;13;9;7500,00
138;10;24;1;170,00
139;4;6;5;560,00
140;3;28;7;640,00
141;2;11;2;2050,00
142;1;4;8;710,00
143;5;43;4;2900,00
144;6;8;6;800,00
145;4;15;3;5000,00
146;3;2;1;1150,00
147;7;19;9;350,00
148;2;6;5;540,00
148;8;36;2;16200,00
149;1;27;7;590,00
150;5;13;4;7300,00
152;6;4;8;680,00
153;4;11;3;2250,00
154;3;8;1;860,00
155;2;20;6;410,00
156;1;35;9;255,00
157;7;38;2;40000,00
158;5;3;4;790,00
159;6;27;5;610,00
160;4;14;7;5800,00
162;3;6;1;520,00
163;2;29;8;740,00
164;1;11;3;2150,00
165;5;2;6;1180,00
166;7;45;2;30000,00
167;6;13;4;6800,00
168;4;18;9;345,00
169;3;8;5;830,00
170;2;4;7;700,00
171;1;26;1;410,00
172;5;5;8;640,00
173;6;11;3;2300,00
174;4;3;6;780,00
175;2;37;4;35500,00
176;7;22;9;290,00
177;3;6;2;530,00
178;1;28;5;630,00
179;5;14;7;6000,00
180;6;4;1;720,00
182;4;11;8;2100,00
183;3;1;3;1000,00
184;2;27;6;570,00
185;1;8;4;820,00
186;5;20;9;395,00
187;7;13;2;7100,00
188;6;33;5;240,00
189;4;5;7;660,00
190;3;40;1;2500,00
191;2;6;8;510,00
192;1;15;3;5100,00
193;5;3;6;760,00
194;6;29;4;730,00
195;4;11;9;2200,00
196;7;4;2;700,00
197;3;38;5;42000,00
198;2;21;7;470,00
199;1;8;1;850,00
200;5;13;8;6700,00
201;6;24;3;165,00
202;4;6;6;540,00
203;3;27;4;600,00
204;2;11;9;2050,00
205;7;2;2;1200,00
206;1;44;5;4100,00
207;5;8;7;790,00
208;6;5;1;640,00
209;4;13;8;7000,00
210;3;17;3;460,00
211;2;6;6;520,00
212;1;30;4;900,00
213;5;11;9;2350,00
213;8;36;2;15800,00
214;6;4;5;680,00
215;4;14;7;5700,00
216;3;8;1;840,00
217;7;20;8;380,00
218;2;3;3;770,00
219;1;27;6;580,00
220;5;13;4;7200,00
221;6;22;9;295,00
222;4;5;2;630,00
223;3;39;5;58000,00
224;2;6;7;510,00
225;1;11;1;2100,00
226;7;28;8;650,00
227;5;4;3;710,00
228;6;15;6;5200,00
229;4;3;4;780,00
230;3;8;9;820,00
231;2;13;2;6900,00
232;1;25;5;175,00
233;5;6;7;530,00
234;6;41;1;1750,00
235;4;11;8;2250,00
236;7;4;3;690,00
237;3;27;6;590,00
238;2;14;4;6100,00
239;1;8;9;840,00
240;5;2;2;1150,00
241;6;33;5;235,00
242;4;5;7;650,00
243;3;13;1;7300,00
244;2;19;8;360,00
245;1;6;3;530,00
246;7;38;6;43000,00
247;5;11;4;2200,00
248;6;3;9;760,00
249;4;27;2;590,00
250;3;8;5;830,00
251;2;4;7;700,00
253;1;14;1;5900,00
254;5;21;8;460,00
255;6;5;3;650,00
256;4;11;6;2100,00
257;7;6;4;520,00
258;3;29;9;780,00
259;2;13;2;7100,00
260;1;8;5;850,00
261;5;20;7;400,00
262;6;4;1;710,00
263;4;11;8;2300,00
264;3;3;3;790,00
265;2;37;6;36000,00
266;7;22;4;300,00
267;1;6;9;510,00
268;5;14;2;5800,00
269;6;8;5;830,00
270;4;27;7;600,00
271;3;5;1;640,00
272;2;11;8;2050,00
273;1;4;3;720,00
274;5;13;6;7000,00
275;6;28;4;640,00
276;7;8;9;820,00
277;4;6;2;540,00
278;3;14;5;6200,00
279;2;3;7;780,00
280;1;11;1;2200,00
281;5;20;8;410,00
282;6;4;3;700,00
283;4;27;6;595,00
284;3;8;4;840,00
285;2;5;9;650,00
286;7;13;2;7200,00
287;1;22;5;295,00
288;5;6;7;530,00
289;6;40;1;2600,00
290;4;11;8;2150,00
291;3;3;3;770,00
292;2;14;6;5900,00
293;1;8;4;830,00
294;5;27;9;600,00
295;6;5;2;640,00
296;4;13;5;7100,00
297;3;19;7;365,00
298;2;6;1;520,00
299;7;38;8;44000,00
300;1;11;3;2200,00
301;5;4;6;700,00
303;6;14;4;5800,00
304;4;8;9;820,00
307;2;27;5;590,00
308;7;5;7;650,00
309;1;13;1;6900,00
310;5;21;8;465,00
311;6;6;3;530,00
312;4;11;6;2100,00
313;3;8;4;840,00
314;2;29;9;750,00
316;7;4;2;700,00
317;1;14;5;5700,00
318;5;22;7;305,00
319;6;5;1;640,00
320;4;13;8;7300,00
321;3;28;3;645,00
322;2;6;6;520,00
323;7;39;4;60000,00
324;1;11;9;2250,00
325;5;3;2;770,00
326;6;8;5;830,00
327;4;14;7;5900,00
328;3;4;1;715,00
329;2;27;8;595,00
330;7;5;3;655,00
331;1;13;6;7100,00
332;5;20;4;415,00
333;6;6;9;535,00
334;4;11;2;2200,00
335;3;3;5;775,00
336;2;37;7;37000,00
337;7;22;1;298,00
338;1;8;8;845,00
339;5;14;3;5800,00
340;6;28;6;650,00
341;4;5;4;655,00
342;3;13;9;7200,00
343;2;19;2;370,00
344;7;6;5;540,00
345;1;40;7;2700,00
346;5;11;1;2300,00
347;6;4;8;705,00
348;4;27;3;608,00
349;3;8;6;840,00
350;2;5;4;655,00
351;7;14;9;6100,00
352;1;22;2;300,00
353;5;6;5;530,00
354;6;11;7;2150,00
355;4;3;1;785,00
356;3;43;8;3100,00
357;2;13;3;7000,00
358;7;25;6;180,00
359;1;8;4;840,00
360;5;5;9;645,00
361;6;14;2;5700,00
362;4;21;5;470,00
363;3;6;7;530,00
364;2;27;1;600,00
365;7;11;8;2250,00
365;1;38;3;40000,00
