ID_Data;ID_Municipio;ID_Orgao;ID_Tributo;Valor_Arrecadado
120;2;1;2;4500000,00
120;3;1;2;6200000,00
120;4;1;2;3800000,00
120;6;1;2;3000000,00
110;1;1;12;1900000,00
110;2;1;12;760000,00
110;3;1;12;900000,00
110;6;1;12;400000,00
110;1;1;1;2200000,00
110;3;1;1;650000,00
130;1;4;5;4284000,00
130;2;4;5;2142000,00
130;3;4;5;1785000,00
130;4;4;5;1071000,00
130;5;4;5;694000,00
130;6;4;5;836000,00
130;7;4;5;765000,00
130;8;4;5;602000,00
130;9;4;5;653000,00
130;10;4;5;388000,00
130;11;4;5;347000,00
130;12;4;5;490000,00
130;13;4;5;265000,00
130;14;4;5;245000,00
130;15;4;5;286000,00
145;1;3;6;13200000,00
145;2;3;6;6100000,00
145;3;3;6;7600000,00
145;4;3;6;4800000,00
145;6;3;6;5800000,00
145;7;3;6;4200000,00
145;9;3;6;3600000,00
145;12;3;6;2100000,00
125;1;4;8;7140000,00
125;2;4;8;3045000,00
125;3;4;8;3360000,00
125;4;4;8;1890000,00
125;6;4;8;1575000,00
125;7;4;8;1260000,00
151;1;1;2;19200000,00
151;2;1;2;4600000,00
151;3;1;2;6400000,00
151;4;1;2;3900000,00
151;6;1;2;3100000,00
140;1;1;12;1950000,00
140;2;1;12;780000,00
140;3;1;12;920000,00
140;6;1;12;410000,00
161;1;4;5;4284000,00
161;2;4;5;2142000,00
161;3;4;5;1785000,00
161;4;4;5;1071000,00
161;5;4;5;694000,00
161;6;4;5;836000,00
161;7;4;5;765000,00
161;8;4;5;602000,00
161;9;4;5;653000,00
161;10;4;5;388000,00
161;11;4;5;347000,00
161;12;4;5;490000,00
161;13;4;5;265000,00
161;14;4;5;245000,00
161;15;4;5;286000,00
175;1;3;6;11800000,00
175;2;3;6;5400000,00
175;3;3;6;6600000,00
175;4;3;6;4100000,00
175;6;3;6;5000000,00
175;7;3;6;3700000,00
175;9;3;6;3100000,00
175;12;3;6;1800000,00
156;1;4;8;7140000,00
156;2;4;8;3045000,00
156;3;4;8;3360000,00
156;4;4;8;1890000,00
156;6;4;8;1575000,00
156;7;4;8;1260000,00
181;1;1;2;18000000,00
181;2;1;2;4200000,00
181;3;1;2;5900000,00
181;4;1;2;3600000,00
181;6;1;2;2800000,00
170;1;1;12;1860000,00
170;2;1;12;744000,00
170;3;1;12;877000,00
170;6;1;12;390000,00
181;1;1;9;8500000,00
181;2;1;9;3200000,00
181;3;1;9;4100000,00
181;6;1;9;1200000,00
181;10;1;9;580000,00
191;1;4;5;4410000,00
191;2;4;5;2205000,00
191;3;4;5;1837500,00
191;4;4;5;1102500,00
191;5;4;5;714000,00
191;6;4;5;861000,00
191;7;4;5;787500,00
191;8;4;5;619500,00
191;9;4;5;672000,00
191;10;4;5;399000,00
191;11;4;5;357000,00
191;12;4;5;504000,00
191;13;4;5;273000,00
191;14;4;5;252000,00
191;15;4;5;294000,00
206;1;3;6;12200000,00
206;2;3;6;5600000,00
206;3;3;6;6900000,00
206;4;3;6;4300000,00
206;6;3;6;5200000,00
206;7;3;6;3900000,00
206;9;3;6;3300000,00
206;12;3;6;1850000,00
186;1;4;8;7140000,00
186;2;4;8;3045000,00
186;3;4;8;3360000,00
186;4;4;8;1890000,00
186;6;4;8;1575000,00
186;7;4;8;1260000,00
212;1;1;2;19500000,00
212;2;1;2;4700000,00
212;3;1;2;6500000,00
212;4;1;2;4000000,00
212;6;1;2;3200000,00
201;1;1;12;2000000,00
201;2;1;12;800000,00
201;3;1;12;940000,00
201;6;1;12;420000,00
206;1;1;1;9000000,00
206;2;1;1;2950000,00
206;3;1;1;2200000,00
206;4;1;1;1250000,00
206;6;1;1;1000000,00
222;1;4;5;4410000,00
222;2;4;5;2205000,00
222;3;4;5;1837500,00
222;4;4;5;1102500,00
222;5;4;5;714000,00
222;6;4;5;861000,00
222;7;4;5;787500,00
222;8;4;5;619500,00
222;9;4;5;672000,00
222;10;4;5;399000,00
222;11;4;5;357000,00
222;12;4;5;504000,00
222;13;4;5;273000,00
222;14;4;5;252000,00
222;15;4;5;294000,00
237;1;3;6;12600000,00
237;2;3;6;5800000,00
237;3;3;6;7200000,00
237;4;3;6;4500000,00
237;6;3;6;5500000,00
237;7;3;6;4100000,00
237;9;3;6;3400000,00
237;12;3;6;1950000,00
217;1;4;8;7140000,00
217;2;4;8;3045000,00
217;3;4;8;3360000,00
217;4;4;8;1890000,00
217;6;4;8;1575000,00
217;7;4;8;1260000,00
243;1;1;2;19800000,00
243;2;1;2;4800000,00
243;3;1;2;6700000,00
243;4;1;2;4100000,00
243;6;1;2;3300000,00
232;1;1;12;2000000,00
232;2;1;12;800000,00
232;3;1;12;940000,00
232;6;1;12;420000,00
253;1;4;5;4410000,00
253;2;4;5;2205000,00
253;3;4;5;1837500,00
253;4;4;5;1102500,00
253;5;4;5;714000,00
253;6;4;5;861000,00
253;7;4;5;787500,00
253;8;4;5;619500,00
253;9;4;5;672000,00
253;10;4;5;399000,00
253;11;4;5;357000,00
253;12;4;5;504000,00
253;13;4;5;273000,00
253;14;4;5;252000,00
253;15;4;5;294000,00
268;1;3;6;12900000,00
268;2;3;6;5900000,00
268;3;3;6;7400000,00
268;4;3;6;4600000,00
268;6;3;6;5600000,00
268;7;3;6;4200000,00
268;9;3;6;3500000,00
268;12;3;6;2000000,00
248;1;4;8;7140000,00
248;2;4;8;3045000,00
248;3;4;8;3360000,00
248;4;4;8;1890000,00
248;6;4;8;1575000,00
248;7;4;8;1260000,00
273;1;1;2;20000000,00
273;2;1;2;4900000,00
273;3;1;2;6900000,00
273;4;1;2;4200000,00
273;6;1;2;3400000,00
263;1;1;12;2050000,00
263;2;1;12;820000,00
263;3;1;12;965000,00
263;6;1;12;430000,00
273;1;1;9;8500000,00
273;2;1;9;3200000,00
273;3;1;9;4100000,00
273;6;1;9;1200000,00
273;10;1;9;580000,00
283;1;4;5;4830000,00
283;2;4;5;2415000,00
283;3;4;5;2012500,00
283;4;4;5;1207500,00
283;5;4;5;781600,00
283;6;4;5;942000,00
283;7;4;5;862500,00
283;8;4;5;678500,00
283;9;4;5;736000,00
283;10;4;5;437000,00
283;11;4;5;391000,00
283;12;4;5;552000,00
283;13;4;5;299000,00
283;14;4;5;276000,00
283;15;4;5;322000,00
298;1;3;6;13500000,00
298;2;3;6;6200000,00
298;3;3;6;7800000,00
298;4;3;6;4800000,00
298;6;3;6;5900000,00
298;7;3;6;4400000,00
298;9;3;6;3700000,00
298;12;3;6;2100000,00
278;1;4;8;7480000,00
278;2;4;8;3190000,00
278;3;4;8;3520000,00
278;4;4;8;1980000,00
278;6;4;8;1650000,00
278;7;4;8;1320000,00
304;1;1;2;21000000,00
304;2;1;2;5100000,00
304;3;1;2;7200000,00
304;4;1;2;4400000,00
304;6;1;2;3500000,00
293;1;1;12;2150000,00
293;2;1;12;860000,00
293;3;1;12;1012000,00
293;6;1;12;451000,00
298;1;1;1;9500000,00
298;2;1;1;3100000,00
298;3;1;1;2300000,00
298;4;1;1;1320000,00
298;6;1;1;1050000,00
314;1;4;5;4620000,00
314;2;4;5;2310000,00
314;3;4;5;1925000,00
314;4;4;5;1155000,00
314;5;4;5;748000,00
314;6;4;5;902000,00
314;7;4;5;825000,00
314;8;4;5;649000,00
314;9;4;5;704000,00
314;10;4;5;418000,00
314;11;4;5;374000,00
314;12;4;5;528000,00
314;13;4;5;286000,00
314;14;4;5;264000,00
314;15;4;5;308000,00
329;1;3;6;13200000,00
329;2;3;6;6000000,00
329;3;3;6;7500000,00
329;4;3;6;4700000,00
329;6;3;6;5700000,00
329;7;3;6;4300000,00
329;9;3;6;3600000,00
329;12;3;6;2050000,00
309;1;4;8;7480000,00
309;2;4;8;3190000,00
309;3;4;8;3520000,00
309;4;4;8;1980000,00
309;6;4;8;1650000,00
309;7;4;8;1320000,00
334;1;1;2;20500000,00
334;2;1;2;5000000,00
334;3;1;2;7000000,00
334;4;1;2;4300000,00
334;6;1;2;3450000,00
323;1;1;12;2100000,00
323;2;1;12;840000,00
323;3;1;12;990000,00
323;6;1;12;440000,00
344;1;4;5;4620000,00
344;2;4;5;2310000,00
344;3;4;5;1925000,00
344;4;4;5;1155000,00
344;5;4;5;748000,00
344;6;4;5;902000,00
344;7;4;5;825000,00
344;8;4;5;649000,00
344;9;4;5;704000,00
344;10;4;5;418000,00
344;11;4;5;374000,00
344;12;4;5;528000,00
344;13;4;5;286000,00
344;14;4;5;264000,00
344;15;4;5;308000,00
357;1;3;6;14000000,00
357;2;3;6;6400000,00
357;3;3;6;8000000,00
357;4;3;6;5000000,00
357;6;3;6;6100000,00
357;7;3;6;4600000,00
357;9;3;6;3900000,00
357;12;3;6;2200000,00
339;1;4;8;7480000,00
339;2;4;8;3190000,00
339;3;4;8;3520000,00
339;4;4;8;1980000,00
339;6;4;8;1650000,00
339;7;4;8;1320000,00
364;1;1;2;22000000,00
364;2;1;2;5300000,00
364;3;1;2;7500000,00
364;4;1;2;4600000,00
364;6;1;2;3600000,00
354;1;1;12;2200000,00
354;2;1;12;880000,00
354;3;1;12;1040000,00
354;6;1;12;462000,00
364;1;1;9;8500000,00
364;2;1;9;3200000,00
364;3;1;9;4100000,00
364;6;1;9;1200000,00
364;10;1;9;580000,00
354;1;2;4;1850000,00
354;3;2;4;820000,00
354;4;2;4;490000,00
80;1;1;10;950000,00
80;2;1;10;280000,00
80;3;1;10;320000,00
80;6;1;10;180000,00
206;1;1;10;980000,00
206;2;1;10;295000,00
206;3;1;10;335000,00
206;6;1;10;190000,00
298;1;5;13;620000,00
298;2;5;13;185000,00
298;3;5;13;210000,00
31;1;1;14;420000,00
31;2;1;14;95000,00
31;3;1;14;112000,00
151;1;1;14;380000,00
151;3;1;14;98000,00
273;1;1;15;850000,00
273;3;1;15;220000,00
364;1;1;15;920000,00
364;3;1;15;245000,00
84;1;1;3;1200000,00
84;2;1;3;450000,00
84;3;1;3;380000,00
268;1;1;3;1350000,00
268;2;1;3;510000,00
268;3;1;3;420000,00
69;1;2;7;580000,00
69;6;2;7;1200000,00
69;7;2;7;980000,00
181;1;2;7;620000,00
181;6;2;7;1350000,00
181;7;2;7;1050000,00
273;1;2;7;650000,00
273;6;2;7;1420000,00
273;7;2;7;1100000,00
364;1;2;7;680000,00
364;6;2;7;1480000,00
364;7;2;7;1150000,00
