ID_Data;ID_Bairro;ID_Fornecedor;ID_Item;Valor_Empenhado
55;3;2;1;125000,00
56;14;8;29;7100,00
57;6;5;25;248000,00
57;11;1;5;21000,00
60;8;8;28;3900,00
60;1;3;9;15600,00
61;9;2;4;26000,00
62;5;8;32;3200,00
62;6;5;26;192000,00
64;7;4;17;14000,00
64;13;8;28;4200,00
65;3;2;1;135000,00
65;2;8;29;6200,00
66;11;1;6;38000,00
67;6;5;22;35000,00
68;4;8;28;4000,00
69;10;3;10;6900,00
70;6;5;25;262000,00
70;14;2;3;68000,00
71;15;8;32;3100,00
72;8;4;14;8200,00
73;1;8;28;4400,00
74;9;2;1;112000,00
75;6;5;21;95000,00
75;5;8;29;6500,00
76;13;1;7;9500,00
77;3;8;28;4100,00
78;11;4;16;32000,00
79;6;5;25;275000,00
79;7;2;4;28000,00
80;2;8;32;3300,00
82;4;3;9;18500,00
83;10;8;28;4300,00
84;6;5;26;205000,00
84;14;1;5;22000,00
85;1;8;29;6800,00
86;8;2;3;82000,00
87;9;8;28;4000,00
88;6;5;23;15800,00
90;3;4;15;11000,00
92;5;8;32;3400,00
92;11;2;1;142000,00
94;6;5;25;288000,00
94;13;8;28;4500,00
95;7;3;12;21000,00
96;2;1;6;44000,00
97;4;8;29;7200,00
98;6;5;22;38000,00
99;10;8;28;4200,00
100;15;2;3;88000,00
101;1;4;19;8500,00
102;6;5;25;305000,00
102;8;8;32;3200,00
103;9;1;4;30000,00
104;14;8;28;4400,00
105;3;2;1;158000,00
106;11;5;24;18000,00
107;6;5;21;108000,00
108;5;8;29;6900,00
109;13;3;8;45000,00
110;2;8;28;4100,00
112;6;5;25;318000,00
112;7;4;17;16000,00
113;4;8;32;3100,00
114;10;2;3;94000,00
115;1;8;28;4600,00
116;9;1;5;24000,00
117;6;5;26;228000,00
118;15;8;29;7500,00
119;8;4;16;36000,00
120;3;8;28;4300,00
122;6;5;25;332000,00
122;11;2;1;168000,00
123;14;8;32;3400,00
124;5;3;9;20000,00
125;2;8;28;4500,00
126;13;1;6;48000,00
127;6;5;22;42000,00
128;4;8;29;7800,00
129;9;2;3;102000,00
130;7;8;28;4200,00
131;6;5;21;122000,00
132;10;4;14;9500,00
133;1;8;32;3300,00
134;3;2;1;178000,00
135;11;8;28;4700,00
136;6;5;25;345000,00
136;15;3;10;7800,00
137;8;1;5;26000,00
138;5;8;29;8100,00
139;14;2;4;32000,00
140;6;5;26;242000,00
143;2;8;28;4400,00
144;9;4;16;38000,00
145;3;8;32;3500,00
146;13;2;3;108000,00
147;6;5;25;358000,00
147;7;8;29;8400,00
148;4;1;7;10500,00
149;11;8;28;4800,00
150;1;5;22;44000,00
152;6;5;21;135000,00
152;10;2;1;188000,00
153;8;8;32;3200,00
154;14;3;9;22000,00
155;2;8;28;4500,00
156;6;5;25;372000,00
156;15;4;18;52000,00
157;9;8;29;8700,00
158;5;2;3;115000,00
159;3;8;28;4300,00
160;13;1;5;28000,00
162;6;5;26;258000,00
162;7;8;32;3400,00
163;11;4;16;42000,00
164;4;8;28;4900,00
165;1;2;1;198000,00
166;6;5;25;385000,00
166;10;3;12;24000,00
167;8;8;29;9000,00
168;14;1;6;52000,00
169;2;8;28;4600,00
170;9;2;3;122000,00
172;6;5;21;148000,00
172;15;8;32;3500,00
173;3;4;19;10000,00
174;5;8;28;4700,00
175;6;5;25;398000,00
175;13;1;4;34000,00
176;11;8;29;9300,00
177;7;2;3;128000,00
178;4;8;28;4800,00
179;1;5;22;46000,00
180;6;5;26;272000,00
182;10;8;32;3600,00
183;8;3;9;24000,00
184;2;8;28;4500,00
185;6;5;25;415000,00
185;14;4;16;45000,00
186;9;2;1;205000,00
187;3;8;29;9600,00
188;15;1;5;30000,00
189;5;8;28;4900,00
191;6;5;21;162000,00
191;13;2;3;135000,00
192;7;8;32;3500,00
193;11;4;17;18000,00
194;4;8;28;4800,00
195;6;5;25;428000,00
195;1;3;10;9200,00
196;10;8;29;9900,00
197;8;2;3;142000,00
198;2;8;28;4700,00
199;6;5;26;285000,00
200;14;1;6;56000,00
201;9;8;32;3600,00
202;3;4;14;10500,00
203;5;8;28;5000,00
204;6;5;25;442000,00
204;15;2;1;215000,00
205;13;8;29;10200,00
206;11;1;5;32000,00
207;7;8;28;4900,00
208;4;5;22;48000,00
209;1;2;3;148000,00
210;6;5;21;175000,00
211;10;8;32;3700,00
212;8;3;9;26000,00
213;2;8;28;4800,00
214;6;5;25;455000,00
214;14;4;16;48000,00
215;9;8;29;10500,00
216;3;2;1;222000,00
217;5;8;28;5100,00
218;13;1;7;12000,00
219;6;5;26;298000,00
220;7;8;32;3600,00
221;11;4;19;11000,00
222;4;8;28;4900,00
223;6;5;25;468000,00
223;15;3;12;26000,00
224;1;2;3;155000,00
225;10;8;29;10800,00
226;8;1;5;34000,00
227;2;8;28;5000,00
228;6;5;21;188000,00
229;14;4;16;50000,00
230;9;8;32;3700,00
231;3;2;1;232000,00
232;5;8;28;5200,00
233;6;5;25;482000,00
233;13;1;6;60000,00
234;7;8;29;11100,00
235;11;5;22;52000,00
236;4;8;28;5100,00
237;1;2;3;162000,00
238;6;5;26;312000,00
239;10;8;32;3800,00
240;8;3;9;28000,00
241;2;8;28;5000,00
242;6;5;25;495000,00
242;15;4;18;58000,00
243;14;8;29;11400,00
244;9;2;1;242000,00
245;5;8;28;5300,00
246;6;5;21;202000,00
247;13;1;5;36000,00
248;3;8;32;3800,00
249;11;4;16;52000,00
251;7;8;28;5200,00
253;6;5;25;508000,00
253;4;2;3;168000,00
254;1;8;29;11700,00
255;10;1;7;13500,00
256;8;8;28;5100,00
257;2;5;22;55000,00
258;6;5;26;325000,00
259;15;8;32;3900,00
260;14;3;9;30000,00
261;9;8;28;5200,00
262;6;5;25;522000,00
262;5;2;1;252000,00
263;13;8;29;12000,00
264;11;1;6;64000,00
265;3;8;28;5100,00
266;7;4;16;55000,00
267;6;5;21;215000,00
268;4;8;32;3900,00
269;10;2;3;175000,00
270;1;8;28;5300,00
271;6;5;25;535000,00
271;8;3;12;28000,00
272;14;8;29;12300,00
273;2;1;5;38000,00
274;9;8;28;5200,00
276;6;5;26;338000,00
276;15;4;19;12000,00
277;13;8;32;4000,00
278;11;2;1;262000,00
279;5;8;28;5400,00
280;6;5;25;548000,00
280;7;1;6;68000,00
281;3;8;29;12600,00
282;10;5;22;58000,00
283;4;8;28;5300,00
284;1;2;3;182000,00
286;6;5;21;228000,00
286;14;8;32;4000,00
287;8;4;16;58000,00
288;2;8;28;5500,00
289;6;5;25;562000,00
289;9;3;9;32000,00
290;13;8;29;12900,00
291;15;2;1;272000,00
292;5;8;28;5400,00
293;11;1;5;40000,00
294;3;8;32;4100,00
295;6;5;26;352000,00
295;7;4;17;20000,00
296;4;8;28;5500,00
297;10;2;3;188000,00
298;1;8;29;13200,00
299;6;5;25;575000,00
299;8;1;6;72000,00
300;14;8;32;4100,00
302;2;5;22;62000,00
303;9;8;28;5600,00
304;6;5;21;242000,00
307;13;2;1;282000,00
307;3;8;29;13500,00
308;11;4;16;62000,00
308;6;5;25;588000,00
309;5;8;28;5500,00
310;15;1;7;15000,00
311;7;8;32;4200,00
312;4;3;9;34000,00
313;1;8;28;5700,00
314;6;5;26;365000,00
316;10;2;3;195000,00
317;14;8;29;13800,00
318;8;1;5;42000,00
319;2;8;28;5600,00
320;6;5;25;602000,00
320;9;4;16;65000,00
321;13;8;32;4200,00
322;3;2;1;292000,00
323;5;8;28;5600,00
324;6;5;21;255000,00
324;11;1;6;76000,00
325;7;8;29;14100,00
326;4;5;22;65000,00
327;1;8;28;5800,00
328;6;5;25;615000,00
328;15;3;12;30000,00
329;10;2;3;202000,00
330;14;8;32;4300,00
331;8;4;19;13500,00
332;2;8;28;5700,00
333;6;5;26;378000,00
334;9;1;5;44000,00
335;3;8;29;14400,00
336;13;2;1;302000,00
337;5;8;28;5700,00
338;6;5;25;628000,00
338;11;4;16;68000,00
339;7;8;32;4300,00
340;4;1;6;80000,00
341;1;8;28;5900,00
343;6;5;21;268000,00
343;10;2;3;208000,00
344;14;8;29;14700,00
345;8;5;22;68000,00
346;2;8;28;5800,00
347;6;5;25;642000,00
347;15;3;9;36000,00
348;9;8;32;4400,00
349;3;1;5;46000,00
350;13;8;28;5900,00
351;6;5;26;392000,00
351;11;2;3;215000,00
352;7;8;29;15000,00
353;4;4;16;72000,00
354;1;8;28;6000,00
355;6;5;25;655000,00
355;5;1;6;84000,00
356;10;8;32;4400,00
357;14;2;1;312000,00
358;8;8;28;6100,00
359;2;5;22;72000,00
360;6;5;21;282000,00
361;13;8;29;15300,00
362;3;4;16;75000,00
362;6;5;25;668000,00
363;9;8;28;6000,00
364;15;1;5;48000,00
365;7;8;32;4500,00
365;6;5;26;405000,00
