ID_Data;ID_Escola;ID_Fornecedor;ID_Item;Valor_Empenhado
83;12;4;30;4800,00
84;8;3;27;3500,00
84;14;2;15;8700,00
85;2;1;2;18200,00
86;6;5;37;660,00
87;4;3;24;9200,00
88;11;2;14;7300,00
90;7;4;32;5900,00
91;1;1;3;16500,00
92;13;6;10;6100,00
94;9;2;11;5100,00
95;15;3;25;52000,00
96;3;7;8;2500,00
97;5;4;29;5400,00
98;8;1;5;10800,00
99;2;2;12;4600,00
99;10;5;39;870,00
100;6;3;22;14800,00
101;12;4;31;4400,00
102;4;1;4;13200,00
103;14;2;14;7000,00
104;7;6;10;5200,00
105;1;3;23;12000,00
106;9;4;30;4900,00
107;11;5;36;820,00
108;3;1;1;20500,00
109;13;2;13;6900,00
110;5;3;26;9100,00
111;8;7;6;3100,00
112;2;4;33;5300,00
113;15;1;2;17200,00
114;6;2;15;8200,00
115;4;5;38;910,00
116;10;3;28;3300,00
117;7;4;29;5600,00
118;1;1;3;15800,00
119;12;2;12;4300,00
120;9;6;10;5500,00
122;3;3;21;7400,00
122;14;4;32;6000,00
123;5;1;4;13900,00
124;11;2;11;5300,00
125;8;5;37;700,00
126;2;3;24;9800,00
127;13;7;7;4100,00
128;6;4;30;5000,00
129;4;1;5;10500,00
130;15;2;14;7500,00
131;7;3;22;15500,00
132;1;5;39;930,00
133;9;4;31;4700,00
134;10;1;1;22000,00
135;3;2;12;4500,00
136;12;3;25;48000,00
137;5;6;8;2800,00
138;8;4;29;5800,00
139;2;1;2;18600,00
140;14;5;36;840,00
141;6;2;13;7200,00
143;4;3;27;3600,00
144;11;4;30;5200,00
145;7;1;4;14100,00
146;13;2;15;8500,00
147;1;5;38;980,00
148;9;3;23;11800,00
149;15;7;6;3200,00
150;3;4;31;4600,00
152;5;1;1;21500,00
153;8;2;12;4700,00
154;10;5;40;620,00
155;2;3;22;13900,00
156;12;4;29;5700,00
157;6;1;3;16200,00
158;14;2;14;7800,00
159;4;6;10;6000,00
160;7;3;24;10200,00
162;1;4;32;6400,00
163;11;5;37;680,00
164;9;1;2;19200,00
165;3;2;11;5000,00
166;13;3;25;55000,00
167;5;7;8;2600,00
168;8;4;30;5100,00
169;15;1;4;13500,00
170;2;2;13;6700,00
172;6;5;39;860,00
173;4;3;21;7800,00
174;10;4;29;6100,00
175;7;1;1;23000,00
176;12;2;12;4800,00
177;1;5;36;900,00
178;9;3;26;9400,00
179;14;4;31;5000,00
180;3;1;5;11500,00
182;11;2;15;8900,00
183;5;6;10;6200,00
184;8;3;27;3800,00
185;2;4;32;6600,00
186;13;1;3;17000,00
187;6;5;38;1020,00
188;15;2;14;8100,00
189;4;3;23;12800,00
191;7;4;30;5500,00
192;1;1;4;14800,00
193;10;7;7;4300,00
194;9;2;11;5400,00
195;3;3;22;14200,00
196;12;5;37;720,00
197;5;4;29;6300,00
198;8;1;1;24000,00
199;2;2;12;5100,00
200;14;3;25;62000,00
201;6;6;10;6400,00
202;11;4;31;5200,00
203;4;1;5;12000,00
204;13;2;13;7400,00
205;7;5;39;940,00
206;1;3;28;4100,00
207;15;4;32;6800,00
208;9;1;2;20000,00
209;3;2;15;9200,00
210;5;3;24;10800,00
211;8;7;6;3400,00
212;2;4;29;6500,00
213;10;1;3;16800,00
214;12;5;38;1060,00
215;6;2;14;8300,00
216;14;3;21;8200,00
217;4;4;30;5800,00
218;7;1;4;15200,00
219;11;2;12;5200,00
220;1;5;37;760,00
221;9;3;23;13200,00
222;3;4;31;5400,00
223;13;1;1;25000,00
224;5;2;11;5600,00
225;8;6;10;6700,00
226;15;3;26;10100,00
227;2;4;32;7000,00
228;6;1;5;13000,00
229;10;2;13;7600,00
230;4;5;39;980,00
231;7;3;22;15000,00
232;12;4;29;6800,00
233;1;1;2;21000,00
234;9;2;15;9500,00
235;14;5;36;940,00
236;3;3;28;4500,00
237;11;4;30;6000,00
238;5;1;4;16000,00
239;8;7;7;4600,00
240;13;2;12;5400,00
241;2;3;23;14000,00
242;6;5;38;1100,00
243;15;4;31;5600,00
244;4;1;1;26000,00
245;10;2;14;8600,00
246;7;3;25;68000,00
247;1;6;10;7000,00
248;9;4;29;7100,00
249;3;1;5;14000,00
251;12;2;11;5800,00
253;5;5;37;800,00
254;8;3;22;15800,00
255;14;4;30;6200,00
256;2;1;3;18500,00
257;11;2;13;7800,00
258;6;5;38;1140,00
259;4;3;26;10500,00
260;13;4;32;7200,00
261;7;1;4;17000,00
262;15;2;12;5600,00
263;1;3;23;14600,00
264;9;4;29;7300,00
265;3;1;1;27500,00
266;10;7;8;5000,00
267;5;2;14;9000,00
268;8;5;36;1000,00
269;12;3;30;6400,00
270;2;4;31;5800,00
271;6;1;5;15500,00
272;14;2;15;10000,00
273;4;6;10;7200,00
274;11;3;22;16400,00
276;7;4;29;7500,00
277;1;1;2;22500,00
278;9;2;11;6000,00
279;13;5;38;1180,00
280;3;3;24;11500,00
281;5;4;31;6000,00
282;8;1;4;17800,00
283;15;2;12;5900,00
284;2;3;23;15200,00
285;10;4;29;7800,00
286;6;1;1;28000,00
287;12;7;7;5200,00
288;4;2;14;9200,00
289;7;5;36;1040,00
290;14;3;25;72000,00
291;1;4;32;7400,00
292;9;1;5;16000,00
293;11;2;13;8100,00
294;3;6;10;7400,00
295;5;3;22;17000,00
296;8;4;30;6600,00
297;13;1;3;20000,00
298;2;2;15;10500,00
299;6;5;38;1220,00
300;15;3;29;8000,00
302;4;4;31;6200,00
303;7;1;4;18800,00
304;10;2;12;6100,00
307;9;3;23;15800,00
308;1;4;29;8100,00
309;12;1;1;30000,00
310;3;7;8;5400,00
311;5;2;14;9800,00
312;8;5;37;860,00
313;14;3;25;78000,00
314;2;4;32;7600,00
316;6;1;5;17000,00
317;11;2;13;8400,00
318;4;6;10;7600,00
319;13;3;22;17800,00
320;7;4;30;6800,00
321;1;1;3;21000,00
322;9;2;15;11000,00
323;15;5;36;1080,00
324;3;3;26;11200,00
325;5;4;31;6400,00
326;8;1;4;19500,00
327;10;2;12;6300,00
328;2;3;23;16200,00
329;12;4;29;8400,00
330;6;1;1;29000,00
331;14;7;7;5600,00
332;4;2;14;10200,00
333;7;5;38;1260,00
334;1;3;25;82000,00
335;11;4;32;7800,00
336;9;1;5;18000,00
337;13;2;13;8700,00
338;3;6;10;7800,00
339;5;3;22;18500,00
340;8;4;30;7000,00
341;15;1;2;24000,00
343;2;2;15;11500,00
344;6;5;37;900,00
345;10;3;26;11800,00
346;4;4;31;6600,00
347;12;1;4;20200,00
348;7;2;12;6500,00
349;1;3;23;16800,00
350;14;4;29;8700,00
351;9;1;1;32000,00
352;3;7;8;5800,00
353;11;2;14;10600,00
354;5;5;36;1120,00
355;8;3;25;88000,00
356;13;4;32;8000,00
357;2;1;5;19000,00
358;6;2;13;9000,00
359;15;6;10;8000,00
360;4;3;22;19200,00
361;7;4;30;7200,00
362;1;1;2;25000,00
363;10;2;15;12000,00
364;9;5;38;1300,00
365;3;3;29;9200,00
365;12;1;1;33000,00
